# Simulation 2 (Up to date)
# 374 data points written for 58 variables.
#
# Tempo (s),Altitude (m),Altitude above sea level (m),Velocidade vertical (m/s),Velocidade total (m/s),Aceleração vertical (m/s²),Aceleração total (m/s²),Posição a Este do lançamento (m),Posição Norte do lançamento (m),Distância lateral (m),Direção lateral (°),Velocidade lateral (m/s),Aceleração lateral (m/s²),Latitude (° N),Longitude (° E),Ângulo de ataque (°),Taxa de rotação (°/s),Taxa de arremesso (°/s),Taxa de guinada (°/s),Orientação vertical (zênite) (°),Orientação lateral (azimute) (°),Massa. (g),Massa do propelente (g),Momento de inércia longitudinal (kg·m²),Momento de inércia de rotação (kg·m²),Aceleração gravitacional (m/s²),Localização do CP (cm),Localização do CG (cm),Calibres da margem de estabilidade (​),Impulso (N),Thrust-to-weight ratio (​),Força de arrasto (N),Coeficiente de arrasto (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de arrasto axial (​),Coeficiente de força normal (​),Coeficiente de momento de Pitch (​),Guinada coeficiente de momento (​),Coeficiente de força lateral (​),Coeficiente do momento de rotação (​),Coeficiente forçado de rotação (​),Coeficiente de amortecimento de rotação (​),Coeficiente de arremesso de amortecimento (​),Velocidade do vento (m/s),Wind direction (°),Temperatura do ar (°C),Pressão do ar (mbar),Air density (g/cm³),Velocidade do som (m/s),Número de Mach (​),Número de Reynolds (​),Comprimento de referência (cm),Área de referência (cm²),Passo de tempo de simulação (s),Tempo de computação (s),Aceleração de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90,0,0,0,90,0,67.059,18.9,0.001,1.011e-5,9.806,NaN,25.272,NaN,0,0,0,0.87,0.677,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.026,90,15,1013.25,0.001,340.389,0.006,5.828e4,2.5,4.909,0.01,0.025,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90,0,0,0,90,0,67.056,18.897,0.001,1.011e-5,9.806,NaN,25.272,NaN,0.209,0.318,0,0.869,0.676,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.036,90,15,1013.25,0.001,340.389,0.006,5.855e4,2.5,4.909,0.01,0.029,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90,0,0,0,90,0,67.053,18.894,0.001,1.011e-5,9.806,NaN,25.271,NaN,0.418,0.636,0,0.868,0.675,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90,15,1013.25,0.001,340.389,0.006,5.883e4,2.5,4.909,0.01,0.03,0
0.03,3.693e-5,3.693e-5,0.017,0.017,5.789,5.79,-3.609e-6,0,3.609e-6,270,9.031e-4,0.109,45,0,89.525,0,0,0,90,0,67.039,18.88,0.001,1.011e-5,9.806,NaN,25.269,NaN,1.046,1.59,0,0.867,0.674,0.073,0.12,1.237e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.055,90,15,1013.25,0.001,340.389,0.006,5.908e4,2.5,4.909,0.01,0.031,0
0.04,6.528e-4,6.528e-4,0.122,0.122,15.155,15.155,-1.81e-5,0,1.81e-5,270,0.002,0.11,45,0,86.622,0,0,0,90,0,67.024,18.865,0.001,1.011e-5,9.806,NaN,25.266,NaN,1.673,2.545,5.528e-7,0.866,0.673,0.073,0.12,4.307e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.065,90,15,1013.25,0.001,340.389,0.006,5.942e4,2.5,4.909,0.01,0.033,0
0.05,0.003,0.003,0.345,0.345,29.52,29.52,-4.36e-5,0,4.36e-5,270,0.003,0.113,45,0,80.54,0,0,0,90,0,66.984,18.825,0.001,1.011e-5,9.806,NaN,25.259,NaN,2.634,4.01,1.168e-5,0.863,0.67,0.073,0.12,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.074,90,15,1013.25,0.001,340.389,0.006,6.038e4,2.5,4.909,0.01,0.034,0
0.06,0.008,0.008,0.712,0.712,43.9,43.901,-8.055e-5,0,8.055e-5,270,0.004,0.127,45,0,71.383,0,0,0,90,0,66.944,18.785,0.001,1.011e-5,9.806,NaN,25.252,NaN,3.595,5.477,8.885e-5,0.851,0.659,0.072,0.12,0.059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.118,90,15,1013.249,0.001,340.389,0.007,6.416e4,2.5,4.909,0.005,0.035,0
0.065,0.012,0.012,0.95,0.95,51.096,51.096,-1.037e-4,0,1.037e-4,270,0.005,0.137,45,0,66.026,0,0,0,90,0,66.924,18.764,0.001,1.011e-5,9.806,NaN,25.248,NaN,4.076,6.211,1.921e-4,0.843,0.651,0.072,0.12,0.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.141,90,15,1013.249,0.001,340.389,0.007,6.722e4,2.5,4.909,0.007,0.037,0
# Event LIFTOFF occurred at t=0.073 seconds
0.073,0.021,0.021,1.388,1.388,65.803,65.803,-1.45e-4,0,1.45e-4,270,0.006,0,45,0,57.367,0,0,0,90,0,66.867,18.708,0.001,1.011e-5,9.806,NaN,25.238,NaN,5.056,7.711,5.075e-4,0.825,0.634,0.071,0.12,0.255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.174,90,15,1013.248,0.001,340.389,0.008,7.402e4,2.5,4.909,0.01,0.038,0
