# Simulation 2 (Up to date)
# 374 data points written for 58 variables.
#
# Tempo (s),Altitude (m),Altitude above sea level (m),Velocidade vertical (m/s),Velocidade total (m/s),Aceleração vertical (m/s²),Aceleração total (m/s²),Posição a Este do lançamento (m),Posição Norte do lançamento (m),Distância lateral (m),Direção lateral (°),Velocidade lateral (m/s),Aceleração lateral (m/s²),Latitude (° N),Longitude (° E),Ângulo de ataque (°),Taxa de rotação (°/s),Taxa de arremesso (°/s),Taxa de guinada (°/s),Orientação vertical (zênite) (°),Orientação lateral (azimute) (°),Massa. (g),Massa do propelente (g),Momento de inércia longitudinal (kg·m²),Momento de inércia de rotação (kg·m²),Aceleração gravitacional (m/s²),Localização do CP (cm),Localização do CG (cm),Calibres da margem de estabilidade (​),Impulso (N),Thrust-to-weight ratio (​),Força de arrasto (N),Coeficiente de arrasto (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de arrasto axial (​),Coeficiente de força normal (​),Coeficiente de momento de Pitch (​),Guinada coeficiente de momento (​),Coeficiente de força lateral (​),Coeficiente do momento de rotação (​),Coeficiente forçado de rotação (​),Coeficiente de amortecimento de rotação (​),Coeficiente de arremesso de amortecimento (​),Velocidade do vento (m/s),Wind direction (°),Temperatura do ar (°C),Pressão do ar (mbar),Air density (g/cm³),Velocidade do som (m/s),Número de Mach (​),Número de Reynolds (​),Comprimento de referência (cm),Área de referência (cm²),Passo de tempo de simulação (s),Tempo de computação (s),Aceleração de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.082,0.038,0.038,2.144,2.144,85.442,85.442,-2.057e-4,0,2.057e-4,270,0.006,0,45,0,45.889,0,0,0,90,0,66.792,18.633,0.001,1.01e-5,9.806,NaN,25.224,NaN,6.363,9.715,0.001,0.794,0.605,0.07,0.12,0.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.218,90,15,1013.245,0.001,340.389,0.009,8.859e4,2.5,4.909,0.003,0.039,0
0.085,0.044,0.044,2.364,2.364,90.358,90.358,-2.209e-4,0,2.209e-4,270,0.006,0,45,0,43.238,0,0,0,90,0,66.773,18.614,0.001,1.01e-5,9.806,NaN,25.221,NaN,6.69,10.217,0.002,0.786,0.596,0.07,0.12,0.558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.229,90,15,1013.245,0.001,340.389,0.01,9.332e4,2.5,4.909,0.004,0.041,0
0.089,0.054,0.054,2.717,2.717,97.756,97.756,-2.437e-4,0,2.437e-4,270,0.006,0,45,0,39.5,0,0,0,90,0,66.731,18.572,0.001,1.01e-5,9.806,NaN,25.213,NaN,7.18,10.972,0.002,0.773,0.584,0.069,0.12,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.246,90,15,1013.244,0.001,340.389,0.01,1.013e5,2.5,4.909,0.006,0.042,0
0.094,0.07,0.07,3.298,3.298,108.867,108.867,-2.779e-4,0,2.779e-4,270,0.006,0,45,0,34.474,0,0,0,90,0,66.668,18.509,0.001,1.01e-5,9.806,NaN,25.202,NaN,7.915,12.107,0.004,0.754,0.565,0.068,0.12,0.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27,90,15,1013.242,0.001,340.389,0.012,1.15e5,2.5,4.909,0.011,0.043,0
0.105,0.112,0.112,4.566,4.566,129.899,129.899,-3.425e-4,0,3.425e-4,270,0.006,0,45,0,26.504,0,0,0,90,0,66.549,18.39,0.001,1.009e-5,9.806,NaN,25.18,NaN,9.304,14.257,0.007,0.719,0.532,0.067,0.12,0.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.283,90,14.999,1013.237,0.001,340.388,0.015,1.467e5,2.5,4.909,0.01,0.044,0
0.115,0.165,0.165,5.984,5.984,153.721,153.721,-4.032e-4,0,4.032e-4,270,0.006,0,45,-5.135e-9,20.627,0,0,0,90,0,66.404,18.245,0.001,1.009e-5,9.806,NaN,25.154,NaN,10.87,16.693,0.011,0.69,0.504,0.066,0.12,0.885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.259,90,14.999,1013.231,0.001,340.388,0.019,1.839e5,2.5,4.909,0.004,0.045,0
0.119,0.19,0.19,6.618,6.618,163.273,163.273,-4.276e-4,0,4.276e-4,270,0.006,0,45,-5.445e-9,18.72,0,0,0,90,0,66.346,18.186,0.001,1.009e-5,9.806,NaN,25.143,NaN,11.496,17.67,0.013,0.679,0.493,0.066,0.12,0.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.249,90,14.999,1013.228,0.001,340.388,0.021,2.01e5,2.5,4.909,0.006,0.046,0
0.125,0.232,0.232,7.619,7.619,170.169,170.169,-4.64e-4,0,4.64e-4,270,0.006,0,45,-5.909e-9,16.302,0,0,0,90,0,66.244,18.085,0.001,1.008e-5,9.806,NaN,25.124,NaN,11.939,18.378,0.016,0.664,0.479,0.065,0.12,0.862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.234,90,14.998,1013.223,0.001,340.388,0.023,2.283e5,2.5,4.909,0.011,0.048,0
0.136,0.327,0.327,9.56,9.56,182.855,182.855,-5.309e-4,0,5.309e-4,270,0.006,0,45,-6.761e-9,12.966,0,0,0,90,0,66.057,17.898,0.001,1.007e-5,9.806,NaN,25.09,NaN,12.75,19.683,0.023,0.641,0.456,0.065,0.12,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.207,90,14.998,1013.212,0.001,340.388,0.029,2.821e5,2.5,4.909,0.01,0.049,0
0.146,0.431,0.431,11.353,11.353,175.806,175.806,-5.916e-4,0,5.916e-4,270,0.006,0,45,-7.535e-9,10.853,0,0,0,90,0,65.885,17.726,0.001,1.007e-5,9.806,NaN,25.058,NaN,12.259,18.975,0.03,0.624,0.44,0.064,0.12,0.755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.183,90,14.997,1013.199,0.001,340.387,0.034,3.324e5,2.5,4.909,0.007,0.05,0
0.153,0.515,0.515,12.567,12.567,170.844,170.844,-6.342e-4,0,6.342e-4,270,0.006,0,45,-8.076e-9,9.762,0,0,0,90,0,65.764,17.605,0.001,1.006e-5,9.806,NaN,25.035,NaN,11.916,18.477,0.036,0.617,0.433,0.064,0.12,0.731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.168,90,14.997,1013.19,0.001,340.387,0.037,3.667e5,2.5,4.909,0.008,0.051,0
0.161,0.62,0.62,13.897,13.897,163.509,163.509,-6.826e-4,0,6.826e-4,270,0.006,0,45,-8.692e-9,8.793,0,0,0,90,0,65.638,17.479,0.001,1.006e-5,9.806,NaN,25.012,NaN,11.419,17.74,0.042,0.617,0.433,0.064,0.12,0.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.156,90,14.996,1013.177,0.001,340.386,0.041,4.044e5,2.5,4.909,0.007,0.052,0
0.168,0.725,0.725,15.05,15.05,156.849,156.849,-7.263e-4,0,7.263e-4,270,0.006,0,45,-9.249e-9,8.086,0,0,0,90,0,65.525,17.366,0.001,1.005e-5,9.806,NaN,24.991,NaN,10.969,17.071,0.049,0.617,0.433,0.064,0.12,0.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.144,90,14.995,1013.165,0.001,340.386,0.045,4.371e5,2.5,4.909,0.005,0.053,0
0.173,0.799,0.799,15.799,15.799,152.349,152.349,-7.557e-4,0,7.557e-4,270,0.006,0,45,-9.624e-9,7.68,0,0,0,90,0,65.448,17.289,0.001,1.005e-5,9.806,NaN,24.976,NaN,10.666,16.619,0.053,0.617,0.433,0.064,0.12,0.696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.137,90,14.995,1013.156,0.001,340.386,0.047,4.584e5,2.5,4.909,0.006,0.054,0
0.179,0.902,0.902,16.734,16.734,143.06,143.06,-7.942e-4,0,7.942e-4,270,0.006,0,45,-1.011e-8,7.222,0,0,0,90,0,65.36,17.201,0.001,1.005e-5,9.806,NaN,24.96,NaN,10.05,15.681,0.059,0.617,0.433,0.063,0.12,0.689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.126,90,14.994,1013.144,0.001,340.385,0.05,4.851e5,2.5,4.909,0.008,0.055,0
# Event LAUNCHROD occurred at t=0.187 seconds
0.187,1.035,1.035,17.788,17.788,131.77,131.794,-8.408e-4,0,8.408e-4,270,0.006,2.492,45,-1.071e-8,6.759,0,0,0,90,0,65.253,17.094,0.001,1.004e-5,9.806,30.194,24.939,2.102,9.304,14.54,0.066,0.617,0.433,0.063,0.12,0.682,1.685,3.543,-2.847e-4,0,0,0,0,0,2.114,90,14.993,1013.129,0.001,340.385,0.053,5.151e5,2.5,4.909,0.008,0.057,0
0.195,1.19,1.19,18.797,18.797,107.25,107.28,-9.817e-4,0,9.817e-4,270,0.027,2.517,45,-1.25e-8,6.278,0,4.102,2.361e-4,89.983,90.003,65.155,16.996,0.001,1.004e-5,9.806,30.297,24.921,2.151,7.699,12.05,0.072,0.617,0.433,0.063,0.12,0.674,1.547,3.325,-9.336e-5,0,0,0,0,0.001,2.101,90,14.992,1013.11,0.001,340.384,0.056,5.438e5,2.5,4.909,0.003,0.058,0
0.198,1.238,1.238,19.062,19.062,99.825,99.856,-0.001,0,0.001,270,0.034,2.506,45,-1.349e-8,6.148,0,5.376,3.095e-4,89.971,90.003,65.126,16.967,0.001,1.004e-5,9.806,30.326,24.915,2.164,7.214,11.296,0.074,0.617,0.433,0.063,0.12,0.672,1.51,3.266,-4.184e-4,0,0,0,0,0.002,2.097,90,14.992,1013.105,0.001,340.384,0.056,5.513e5,2.5,4.909,0.004,0.059,0
0.202,1.312,1.312,19.425,19.425,89.585,89.619,-0.001,0,0.001,270,0.043,2.478,45,-1.537e-8,5.968,0,7.307,3.369e-4,89.946,90.003,65.091,16.932,0.001,1.003e-5,9.806,30.365,24.909,2.183,6.546,10.256,0.077,0.617,0.433,0.063,0.12,0.669,1.459,3.182,-3.244e-4,0,0,0,0,0.003,2.092,90,14.991,1013.096,0.001,340.384,0.057,5.617e5,2.5,4.909,0.005,0.06,0
0.207,1.413,1.413,19.852,19.852,75.758,75.797,-0.001,0,0.001,270,0.056,2.426,45,-1.864e-8,5.748,0,9.942,4.401e-4,89.902,90.003,65.045,16.886,0.001,1.003e-5,9.806,30.414,24.9,2.206,5.645,8.85,0.08,0.617,0.433,0.063,0.12,0.666,1.398,3.076,1.951e-4,0,0,0,0,0.006,2.089,90,14.991,1013.084,0.001,340.383,0.059,5.738e5,2.5,4.909,0.008,0.061,0
0.215,1.569,1.569,20.419,20.419,70.526,70.563,-0.002,0,0.002,270,0.074,2.282,45,-2.508e-8,5.429,0,13.924,3.679e-4,89.809,90.002,64.988,16.829,0.001,1.003e-5,9.806,30.486,24.889,2.239,5.304,8.323,0.084,0.617,0.433,0.063,0.12,0.662,1.309,2.92,-1.667e-4,0,0,0,0,0.011,2.083,90,14.99,1013.066,0.001,340.383,0.06,5.9e5,2.5,4.909,0.008,0.062,0
0.223,1.73,1.73,20.947,20.948,65.272,65.306,-0.003,0,0.003,270,0.091,2.089,45,-3.329e-8,5.103,0,17.914,4.78e-4,89.685,90.002,64.931,16.772,0.001,1.003e-5,9.806,30.561,24.878,2.273,4.962,7.792,0.087,0.617,0.433,0.063,0.12,0.657,1.22,2.757,2.854e-4,0,0,0,0,0.017,2.078,90,14.989,1013.047,0.001,340.382,0.062,6.05e5,2.5,4.909,0.003,0.063,0
0.226,1.803,1.803,21.17,21.17,62.929,62.961,-0.003,0,0.003,270,0.098,1.99,45,-3.748e-8,4.956,0,19.68,5.47e-4,89.62,90.002,64.906,16.747,0.001,1.003e-5,9.806,30.595,24.873,2.289,4.809,7.556,0.089,0.617,0.433,0.063,0.121,0.655,1.181,2.682,-3.875e-4,0,0,0,0,0.02,2.075,90,14.988,1013.039,0.001,340.382,0.062,6.114e5,2.5,4.909,0.005,0.064,0
0.231,1.914,1.914,21.493,21.493,61.363,61.39,-0.003,-6.667e-9,0.003,270,0.108,1.811,45,-4.432e-8,4.731,0,22.303,5.906e-4,89.511,90.002,64.873,16.714,0.001,1.003e-5,9.806,30.648,24.867,2.312,4.707,7.399,0.091,0.617,0.433,0.063,0.121,0.652,1.12,2.565,2.503e-4,0,0,0,0,0.026,2.072,90,14.988,1013.026,0.001,340.381,0.063,6.206e5,2.5,4.909,0.008,0.065,0
0.239,2.084,2.084,21.962,21.963,59.012,59.032,-0.004,-1.157e-8,0.004,270,0.121,1.505,45,-5.574e-8,4.383,0,26.154,4.849e-4,89.322,90.002,64.824,16.665,0.001,1.002e-5,9.806,30.731,24.858,2.349,4.554,7.164,0.095,0.617,0.433,0.063,0.121,0.648,1.029,2.383,-4.883e-4,0,0,0,0,0.034,2.066,90,14.986,1013.006,0.001,340.381,0.065,6.34e5,2.5,4.909,0.008,0.066,0
0.247,2.266,2.266,22.438,22.438,56.528,56.539,-0.005,-1.898e-8,0.005,270,0.132,1.136,45,-6.904e-8,4.002,0,30.069,8.754e-4,89.09,90.002,64.772,16.613,0.001,1.002e-5,9.806,30.824,24.848,2.39,4.393,6.916,0.098,0.617,0.433,0.063,0.121,0.643,0.93,2.18,-3.2e-4,0,0,0,0,0.043,2.06,90,14.985,1012.984,0.001,340.38,0.066,6.475e5,2.5,4.909,0.011,0.067,0
0.258,2.511,2.511,23.029,23.029,53.273,53.277,-0.007,-3.302e-8,0.007,270,0.142,0.606,45,-8.786e-8,3.503,0,34.879,0.001,88.741,90.002,64.705,16.546,0.001,1.002e-5,9.806,30.949,24.835,2.446,4.182,6.591,0.102,0.617,0.433,0.063,0.121,0.637,0.803,1.909,4.064e-5,0,0,0,0,0.054,2.06,90,14.984,1012.955,0.001,340.379,0.068,6.644e5,2.5,4.909,0.009,0.068,0
0.267,2.729,2.729,23.522,23.523,52.375,52.375,-0.008,-5.039e-8,0.008,270,0.145,0.053,45,-1.049e-7,3.057,0,38.703,0.001,88.397,90.002,64.653,16.494,0.001,1.002e-5,9.806,31.063,24.825,2.495,4.124,6.505,0.106,0.617,0.433,0.063,0.121,0.633,0.692,1.663,4.489e-4,0,0,0,0,0.064,2.062,90,14.982,1012.93,0.001,340.378,0.069,6.786e5,2.5,4.909,0.01,0.069,0
0.278,2.973,2.973,24.055,24.056,51.378,51.382,-0.01,-7.634e-8,0.01,270,0.142,0.615,45,-1.237e-7,2.549,0,42.447,0.001,87.979,90.001,64.596,16.437,0.001,1.001e-5,9.806,31.197,24.814,2.553,4.061,6.411,0.11,0.617,0.433,0.063,0.121,0.628,0.569,1.379,2.821e-4,0,0,0,0,0.074,2.064,90,14.981,1012.901,0.001,340.377,0.071,6.938e5,2.5,4.909,0.012,0.07,0
0.289,3.261,3.261,24.656,24.657,50.216,50.237,-0.011,-1.164e-7,0.011,269.999,0.13,1.448,45,-1.443e-7,1.948,0,46.043,0.001,87.455,90.001,64.53,16.371,0.001,1.001e-5,9.806,31.362,24.801,2.624,3.988,6.303,0.115,0.617,0.433,0.063,0.121,0.624,0.428,1.039,-1.276e-4,0,0,0,0,0.083,2.067,90,14.979,1012.868,0.001,340.376,0.073,7.111e5,2.5,4.909,0.015,0.071,0
0.304,3.635,3.635,25.395,25.396,48.724,48.791,-0.013,-1.829e-7,0.013,269.999,0.1,2.548,45,-1.664e-7,1.205,0,49.296,0.002,86.741,90.001,64.447,16.288,0.001,1.001e-5,9.806,31.573,24.785,2.715,3.896,6.165,0.121,0.617,0.433,0.063,0.121,0.62,0.259,0.613,-2.301e-4,0,0,0,0,0.089,2.082,90,14.976,1012.824,0.001,340.375,0.075,7.324e5,2.5,4.909,0.022,0.072,0
0.326,4.195,4.195,26.425,26.425,46.515,46.697,-0.015,-3.136e-7,0.015,269.999,0.028,4.127,45,-1.847e-7,0.232,0,51.307,0.013,85.648,90.001,64.327,16.168,0.001,1e-5,9.806,31.864,24.761,2.841,3.763,5.965,0.13,0.617,0.433,0.063,0.121,0.617,0.048,0.048,4.314e-4,0,0,0,0,0.089,2.146,90,14.973,1012.758,0.001,340.372,0.078,7.621e5,2.5,4.909,0.032,0.074,0
0.358,5.076,5.076,27.91,27.91,45.068,45.562,-0.013,-6.006e-7,0.013,269.997,0.147,6.689,45,-1.629e-7,1.187,0,-47.6,0.002,84.021,90.001,64.161,16.002,0.001,9.997e-6,9.806,31.579,24.729,2.74,3.692,5.869,0.146,0.617,0.433,0.063,0.121,0.62,0.255,0.768,1.841e-4,0,0,0,0,-0.069,2.193,90,14.967,1012.655,0.001,340.369,0.082,8.052e5,2.5,4.909,0.016,0.075,0
0.374,5.519,5.519,28.611,28.612,44.315,45.022,-0.01,-7.751e-7,0.01,269.995,0.262,7.946,45,-1.224e-7,1.876,-4.588e-7,-42.434,0.001,83.312,90,64.081,15.922,0.001,9.993e-6,9.806,31.383,24.713,2.668,3.658,5.822,0.154,0.617,0.433,0.063,0.121,0.623,0.411,1.149,-4.381e-4,0,0,0,0,-0.052,2.147,90,14.964,1012.603,0.001,340.367,0.084,8.254e5,2.5,4.909,0.01,0.076,0
0.384,5.806,5.806,29.05,29.052,43.832,44.681,-0.007,-8.947e-7,0.007,269.992,0.345,8.668,45,-8.398e-8,2.244,-5.998e-7,-38.008,0.002,82.911,90,64.03,15.871,0.001,9.991e-6,9.806,31.281,24.703,2.631,3.637,5.792,0.16,0.617,0.433,0.063,0.121,0.626,0.497,1.348,3.61e-4,0,0,0,0,-0.041,2.117,90,14.962,1012.569,0.001,340.366,0.086,8.38e5,2.5,4.909,0.008,0.077,0
0.392,6.047,6.047,29.408,29.411,43.436,44.4,-0.003,-9.965e-7,0.003,269.984,0.418,9.203,45,-4.407e-8,2.503,-6.135e-7,-33.742,4.173e-4,82.616,90,63.988,15.829,0.001,9.989e-6,9.806,31.211,24.695,2.606,3.619,5.767,0.164,0.617,0.433,0.063,0.121,0.628,0.558,1.487,1.269e-5,0,0,0,0,-0.031,2.093,90,14.961,1012.541,0.001,340.365,0.087,8.484e5,2.5,4.909,0.007,0.078,0
0.4,6.262,6.262,29.723,29.727,43.09,44.151,-1.724e-4,-1.088e-6,1.724e-4,269.638,0.487,9.621,45,0,2.695,-6.419e-7,-29.554,5.161e-4,82.385,90,63.951,15.791,0.001,9.988e-6,9.806,31.16,24.688,2.589,3.603,5.745,0.168,0.617,0.433,0.063,0.121,0.63,0.604,1.588,1.218e-4,0,0,0,0,-0.023,2.072,90,14.959,1012.516,0.001,340.364,0.088,8.575e5,2.5,4.909,0.007,0.079,0
0.406,6.461,6.461,30.009,30.014,42.787,43.919,0.003,-1.172e-6,0.003,90.02,0.552,9.908,45,4.184e-8,2.794,-6.806e-7,-25.444,6.416e-5,82.202,90,63.916,15.757,0.001,9.987e-6,9.806,31.134,24.681,2.581,3.588,5.725,0.172,0.617,0.433,0.063,0.121,0.631,0.628,1.639,2.676e-4,0,0,0,0,-0.017,2.076,90,14.958,1012.492,0.001,340.363,0.089,8.659e5,2.5,4.909,0.006,0.08,0
0.413,6.651,6.651,30.279,30.285,42.507,43.697,0.007,-1.253e-6,0.007,90.01,0.615,10.127,45,8.883e-8,2.858,-6.064e-7,-21.364,2.295e-5,82.054,90,63.884,15.725,0.001,9.985e-6,9.806,31.117,24.675,2.577,3.575,5.706,0.175,0.617,0.433,0.063,0.121,0.631,0.644,1.67,4.153e-4,0,0,0,0,-0.012,2.081,90,14.957,1012.47,0.001,340.363,0.089,8.738e5,2.5,4.909,0.006,0.081,0
0.419,6.837,6.837,30.537,30.544,42.245,43.48,0.011,-1.331e-6,0.011,90.007,0.677,10.289,45,1.39e-7,2.893,-6.033e-7,-17.304,-6.289e-4,81.936,90,63.853,15.694,0.001,9.984e-6,9.806,31.108,24.668,2.576,3.561,5.688,0.178,0.617,0.433,0.063,0.121,0.632,0.652,1.688,-4.646e-4,0,0,0,0,-0.008,2.086,90,14.956,1012.448,0.001,340.362,0.09,8.813e5,2.5,4.909,0.003,0.082,0
0.422,6.94,6.94,30.679,30.687,42.104,43.359,0.013,-1.374e-6,0.013,90.006,0.712,10.358,45,1.688e-7,2.902,-6.086e-7,-15.015,-3.22e-4,81.882,90,63.836,15.677,0.001,9.983e-6,9.806,31.106,24.665,2.576,3.554,5.677,0.18,0.617,0.433,0.063,0.121,0.632,0.654,1.692,2.789e-4,0,0,0,0,-0.006,2.089,90,14.955,1012.436,0.001,340.362,0.091,8.855e5,2.5,4.909,0.005,0.083,0
0.427,7.095,7.095,30.891,30.901,41.938,43.217,0.017,-1.44e-6,0.017,90.005,0.765,10.437,45,2.162e-7,2.9,-5.834e-7,-11.537,-2.276e-4,81.815,90,63.811,15.652,0.001,9.982e-6,9.806,31.106,24.66,2.578,3.546,5.666,0.183,0.617,0.433,0.063,0.121,0.632,0.654,1.689,-1.942e-4,0,0,0,0,-0.003,2.093,90,14.954,1012.418,0.001,340.361,0.091,8.917e5,2.5,4.909,0.006,0.084,0
0.433,7.274,7.274,31.133,31.144,41.755,43.052,0.022,-1.516e-6,0.022,90.004,0.825,10.485,45,2.747e-7,2.877,-5.52e-7,-7.519,-2.362e-4,81.76,90,63.783,15.624,0.001,9.981e-6,9.806,31.112,24.655,2.583,3.536,5.654,0.186,0.617,0.433,0.063,0.121,0.631,0.648,1.677,1.149e-4,0,0,0,0,-0.001,2.098,90,14.953,1012.397,0.001,340.36,0.092,8.988e5,2.5,4.909,0.006,0.084,0
0.439,7.453,7.453,31.372,31.384,41.583,42.885,0.026,-1.591e-6,0.026,90.003,0.885,10.486,45,3.371e-7,2.831,-5.73e-7,-3.515,-7.63e-4,81.728,90,63.756,15.597,0.001,9.98e-6,9.806,31.124,24.649,2.59,3.527,5.641,0.188,0.617,0.433,0.063,0.121,0.631,0.637,1.652,4.718e-4,0,0,0,0,-2.972e-4,2.103,90,14.952,1012.376,0.001,340.36,0.093,9.058e5,2.5,4.909,0.006,0.085,0
