# Simulation 1 (Data loaded from a file)
# 359 data points written for 58 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Interstage"
#
# Altitude (m),Altitude above sea level (m),Latitude (° N),Longitude (° E),Thrust-to-weight ratio (​),Wind direction (°),Air density (g/cm³),Time (​),Vertical velocity (​),Total velocity (​),Vertical acceleration (​),Total acceleration (​),Position East of launch (​),Position North of launch (​),Lateral distance (​),Lateral direction (​),Lateral velocity (​),Lateral acceleration (​),Angle of attack (​),Roll rate (​),Pitch rate (​),Yaw rate (​),Vertical orientation (zenith) (​),Lateral orientation (azimuth) (​),Mass (​),Motor mass (​),Longitudinal moment of inertia (​),Rotational moment of inertia (​),Gravitational acceleration (​),CP location (​),CG location (​),Stability margin calibers (​),Thrust (​),Drag force (​),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (​),Air temperature (​),Air pressure (​),Speed of sound (​),Mach number (​),Reynolds number (​),Reference length (​),Reference area (​),Simulation time step (​),Computation time (​),Coriolis acceleration (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
# Event LIFTOFF occurred at t=0.067 seconds
# Event LAUNCHROD occurred at t=0.36 seconds
# Event BURNOUT occurred at t=1.535 seconds
# Event EJECTION_CHARGE occurred at t=1.535 seconds
# Event STAGE_SEPARATION occurred at t=1.535 seconds
# Event IGNITION occurred at t=1.535 seconds
# Event BURNOUT occurred at t=3.07 seconds
# Event EJECTION_CHARGE occurred at t=3.07 seconds
# Event APOGEE occurred at t=11.091 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=11.092 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=39.936 seconds
# Event GROUND_HIT occurred at t=64.194 seconds
# Event SIMULATION_END occurred at t=64.194 seconds
1.864,1.864,32.367,-106.83,7.821,90.012,0.001,0.29,15.434,15.434,66.343,66.343,-0.001,0,0.001,4.712,0.006,0,0.123,0,0,0,1.571,0,2.51,0.554,0.651,0.007,9.795,NaN,1.322,NaN,192.312,1.168,0.875,0.417,0.338,0.12,0.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.911,288.138,1.013e5,340.382,0.046,2.156e6,0.102,0.008,0.02,0.005,0.002
2.181,2.181,32.367,-106.83,7.83,90.012,0.001,0.31,16.744,16.744,66.363,66.363,-0.002,0,0.002,4.712,0.006,0,0.11,0,0,0,1.571,0,2.505,0.549,0.65,0.007,9.795,NaN,1.321,NaN,192.144,1.348,0.875,0.417,0.338,0.12,0.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.861,288.136,1.013e5,340.38,0.049,2.336e6,0.102,0.008,0.017,0.005,0.002
2.484,2.484,32.367,-106.83,7.838,90.012,0.001,0.327,17.903,17.903,66.375,66.375,-0.002,0,0.002,4.712,0.006,0,0.101,0,0,0,1.571,0,2.501,0.545,0.649,0.007,9.795,NaN,1.321,NaN,191.996,1.519,0.875,0.417,0.338,0.12,0.945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.813,288.134,1.013e5,340.379,0.053,2.495e6,0.102,0.008,0.017,0.006,0.002
2.798,2.798,32.367,-106.83,7.816,90.012,0.001,0.344,19.031,19.031,66.082,66.082,-0.002,0,0.002,4.712,0.006,0,0.092,0,0,0,1.571,0,2.496,0.54,0.648,0.007,9.795,NaN,1.32,NaN,191.101,1.696,0.875,0.417,0.338,0.12,0.935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.765,288.132,1.013e5,340.378,0.056,2.649e6,0.102,0.008,0.016,0.006,0.002
3.111,3.111,32.367,-106.83,7.794,90.012,0.001,0.36,20.087,20.087,65.799,65.835,-0.002,0,0.002,4.712,0.006,2.197,0.088,0,0,0,1.571,0,2.492,0.536,0.647,0.007,9.795,1.505,1.319,1.829,190.259,1.878,0.875,0.417,0.338,0.12,0.93,2.71,4.956,3.536e-4,0,0,0,0,0,1.772,288.13,1.013e5,340.377,0.059,2.795e6,0.102,0.008,0.028,0.007,0.002
3.699,3.699,32.367,-106.83,7.757,90.012,0.001,0.388,21.919,21.919,65.296,65.337,-0.003,0,0.003,4.712,0.069,2.324,0.08,0,0.046,-6.199e-7,1.57,1.571,2.485,0.529,0.646,0.007,9.795,1.508,1.318,1.867,188.79,2.214,0.875,0.417,0.338,0.121,0.922,2.452,4.565,-1.106e-4,0,0,0,0,0.013,1.838,288.126,1.013e5,340.374,0.065,3.048e6,0.102,0.008,0.04,0.007,0.003
4.64,4.64,32.367,-106.83,7.755,90.012,0.001,0.428,24.559,24.559,65.074,65.107,-0.008,-1.33e-8,0.008,4.712,0.16,2.086,0.065,0,0.118,-3.789e-6,1.567,1.571,2.474,0.518,0.643,0.007,9.795,1.514,1.317,1.938,187.952,2.73,0.876,0.417,0.338,0.121,0.908,1.956,3.726,3.419e-5,0,0,0,0,0.066,1.846,288.12,1.013e5,340.371,0.072,3.412e6,0.102,0.008,0.02,0.007,0.003
5.131,5.131,32.367,-106.83,7.754,90.012,0.001,0.448,25.827,25.828,64.961,64.986,-0.011,-1.906e-8,0.011,4.712,0.199,1.803,0.057,0,0.152,-3.389e-6,1.564,1.571,2.469,0.513,0.642,0.007,9.795,1.517,1.316,1.976,187.548,2.994,0.876,0.417,0.338,0.121,0.901,1.703,3.265,-2.787e-4,0,0,0,0,0.1,1.833,288.117,1.013e5,340.369,0.076,3.587e6,0.102,0.008,0.029,0.008,0.003
5.915,5.915,32.367,-106.83,7.681,90.012,0.001,0.477,27.715,27.716,64.077,64.089,-0.018,-2.794e-8,0.018,4.712,0.244,1.238,0.045,0,0.2,-3.674e-6,1.559,1.571,2.462,0.506,0.641,0.007,9.795,1.521,1.315,2.029,185.221,3.414,0.876,0.417,0.339,0.121,0.893,1.353,2.595,-2.289e-5,0,0,0,0,0.151,1.83,288.112,1.013e5,340.366,0.082,3.848e6,0.102,0.008,0.032,0.008,0.003
6.826,6.826,32.367,-106.83,7.602,90.012,0.001,0.509,29.733,29.735,63.096,63.097,-0.026,-3.3e-8,0.026,4.712,0.27,0.415,0.034,0,0.246,-3.603e-6,1.552,1.571,2.454,0.498,0.639,0.007,9.795,1.526,1.314,2.087,182.697,3.897,0.876,0.416,0.339,0.121,0.886,0.996,1.879,4.609e-4,0,0,0,0,0.198,1.836,288.106,1.012e5,340.362,0.087,4.126e6,0.102,0.008,0.048,0.008,0.004
